"BottleState","Barcode","iWine","Vintage","Wine","Locale","Country","Region","SubRegion","Appellation","Producer","SortProducer","Type","Varietal","MasterVarietal","Designation","Vineyard","Quantity","BottleSize","Location","Bin","Store","PurchaseDate","DeliveryDate","BottleCost","BottleCostCurrency","BottleNote","PurchaseNote","ConsumptionDate","ConsumptionType","ShortType","ConsumptionNote","ConsumptionRevenue","ConsumptionRevenueCurrency","BeginConsume","EndConsume"
"0","0121568532","3268189","2017","Bodegas AAlto Ribera del Duero AAlto","Spain, Castilla y León, Ribera del Duero","Spain","Castilla y León","Unknown","Ribera del Duero","Bodegas AAlto","AAlto, Bodegas ","Red","Tempranillo","Tempranillo","AAlto","Unknown","1","750ml","Förråd","","Systembolaget","2019-12-06","2019-12-06","399","SEK","","","2019-12-31","Drank from my cellar","Drank","Nyårsafton med Sarmite, Kristina och Magnus","","","2022","2029"
"0","0117311547","3380140","2017","Abbotts & Delaunay Limoux Domaine de la Métairie d'Alon Le Palajo","France, Languedoc Roussillon, Languedoc, Limoux","France","Languedoc Roussillon","Languedoc","Limoux","Abbotts & Delaunay","Abbotts & Delaunay","White","Chardonnay","Chardonnay","Domaine de la Métairie d'Alon Le Palajo","Unknown","1","750ml","Vinkyl (66 fl)","1","Systembolaget","2019-08-16","2019-08-20","259","SEK","","Små partier","2022-10-09","Drank from my cellar","Drank","","","","2019","2022"
"0","0100400793","2939554","2013","Alfiero Boffa Barbera d'Asti Superiore Muntrivé","Italy, Piedmont, Asti, Barbera d'Asti Superiore","Italy","Piedmont","Asti","Barbera d'Asti Superiore","Alfiero Boffa","Alfiero Boffa","Red","Barbera","Barbera","Muntrivé","Unknown","1","750ml","Cellar","","Systembolaget","2018-05-04","2018-05-04","169","SEK","","","2020-07-17","Drank from my cellar","Drank","Med Jim, Per, Stefan och Olof på innergården.","","","9999","2020"
"0","0093175116","2668894","1001","André Legrand Champagne Brut","France, Champagne","France","Champagne","Unknown","Champagne","André Legrand","André Legrand","White - Sparkling","Champagne Blend","Champagne Blend","Brut","Unknown","1","750ml","Cellar","","Systembolaget","2017-10-26","2017-10-26","0","SEK","","Wedding gift","2019-08-09","Drank from my cellar","Drank","","","","2019","2026"
"0","0101468297","2746963","2013","Tenimenti Angelini Vino Nobile di Montepulciano Tre Rose La Villa","Italy, Tuscany, Montepulciano, Vino Nobile di Montepulciano","Italy","Tuscany","Montepulciano","Vino Nobile di Montepulciano","Tenimenti Angelini","Angelini, Tenimenti ","Red","Sangiovese","Sangiovese","Tre Rose La Villa","Unknown","1","750ml","Cellar","","Systembolaget","2018-06-07","2018-06-07","0","SEK","","","2022-07-22","Drank from my cellar","Drank","Med Silvia, mamma, pappa, Irene och Tommy på Åland","","","2018","2021"
"0","0116556312","2699509","2016","Au Bon Climat Pinot Noir Santa Barbara County","USA, California, Central Coast, Santa Barbara County","USA","California","Central Coast","Santa Barbara County","Au Bon Climat","Au Bon Climat","Red","Pinot Noir","Pinot Noir","Unknown","Unknown","1","750ml","Vinkyl (66 fl)","7","Systembolaget","2019-08-08","2019-08-08","0","SEK","","","2020-05-18","Drank from my cellar","Drank","Med Mats","","","2018","2022"
"0","0132714401","3551559","2017","Cascina Ballarin Langhe Nebbiolo","Italy, Piedmont, Langhe, Langhe DOC","Italy","Piedmont","Langhe","Langhe DOC","Cascina Ballarin","Ballarin, Cascina ","Red","Nebbiolo","Nebbiolo","Unknown","Unknown","1","750ml","Cellar","","Systembolaget","2020-08-19","2020-08-19","175","SEK","","Bromma Blocks","2022-08-11","Missing or presumed drunk","Missing","","","","2020","2025"
"0","0121568302","3186888","2016","Benanti Etna Rosso","Italy, Sicily, Etna DOC","Italy","Sicily","Unknown","Etna DOC","Benanti","Benanti","Red","Nerello Blend","Nerello Mascalese","Rosso","Unknown","1","750ml","Förråd","","Systembolaget","2019-12-06","2019-12-06","169","SEK","","","2022-08-23","Missing or presumed drunk","Missing","","","","2019","2022"
"0","0123979805","3186888","2016","Benanti Etna Rosso","Italy, Sicily, Etna DOC","Italy","Sicily","Unknown","Etna DOC","Benanti","Benanti","Red","Nerello Blend","Nerello Mascalese","Rosso","Unknown","1","750ml","Kök","","Systembolaget","2020-01-01","2020-01-01","169","SEK","","","2022-08-23","Missing or presumed drunk","Missing","","","","2019","2022"
"0","0123979804","3186888","2016","Benanti Etna Rosso","Italy, Sicily, Etna DOC","Italy","Sicily","Unknown","Etna DOC","Benanti","Benanti","Red","Nerello Blend","Nerello Mascalese","Rosso","Unknown","1","750ml","Kök","","Systembolaget","2020-01-01","2020-01-01","169","SEK","","","2022-04-09","Drank from my cellar","Drank","Hos mor och far","","","2019","2022"
"0","0132714503","3402529","2017","Benanti Etna Rosso","Italy, Sicily, Etna DOC","Italy","Sicily","Unknown","Etna DOC","Benanti","Benanti","Red","Nerello Blend","Nerello Mascalese","Rosso","Unknown","1","750ml","Kök","","Systembolaget","2020-08-11","2020-08-11","169","SEK","","","2022-08-23","Missing or presumed drunk","Missing","","","","2020","2024"
"0","0121568141","3252090","2017","Bergström Chardonnay Old Stones","USA, Oregon, Willamette Valley","USA","Oregon","Willamette Valley","Willamette Valley","Bergström","Bergström","White","Chardonnay","Chardonnay","Old Stones","Unknown","1","750ml","Cellar","","Systembolaget","2019-11-08","2019-11-08","269","SEK","","Tillfälligt sortiment","2019-12-31","Drank from my cellar","Drank","Nyårsafton med Sarmite, Kristina och Magnus","215","SEK","2019","2023"
"0","0097642057","1334965","2008","Bodegas Beronia Rioja Gran Reserva","Spain, La Rioja, La Rioja Alta, Rioja","Spain","La Rioja","La Rioja Alta","Rioja","Bodegas Beronia","Beronia, Bodegas ","Red","Tempranillo Blend","Tempranillo","Gran Reserva","Unknown","1","750ml","Cellar","","Eckerölinjen","2018-02-17","2018-02-17","0","SEK","","","2018-06-07","Drank from my cellar","Drank","","","","2016","2023"
"0","0116412084","2200246","2010","Bodegas Beronia Rioja Gran Reserva","Spain, La Rioja, La Rioja Alta, Rioja","Spain","La Rioja","La Rioja Alta","Rioja","Bodegas Beronia","Beronia, Bodegas ","Red","Tempranillo Blend","Tempranillo","Gran Reserva","Unknown","1","750ml","Cellar","","Eckerölinjen","2019-08-05","2019-08-05","159","SEK","","","2019-12-31","Drank from my cellar","Drank","Oklart när denna konsumerades","","","2020","2027"
